Kunta;Sijainti;Vuosi;Kokonaisteho (MW);Turbiineja;Omistaja;Laitevalmistaja
Haapajärvi;63.78865°N, 25.37787°E;2017;23;7;ABO Wind Oy/ Infinergies Finland Oy;Vestas
Hyrynsalmi;64.70952°N, 28.704°E;2017;24;8;Taaleri Pääomarahastot Oy;Nordex
Isojoki;62.184699°N, 21.698715°E;2017;7;2;CPC Lakiakangas 1 Oy;Vestas
Kokkola;63.946189°N, 23.617813°E;2017;2;1;Koskenkylän tuulienergia Oy;Enercon
Korsnäs;62.695447°N, 21.177272°E;2017;6;2;Harrström Vindpark Ab;Vestas
Kristiinankaupunki;62.25861°N, 21.32549°E;2017;3;1;Huikku Tuulivoima Oy;Vestas
Lapua;62.957921°N, 22.951578°E;2017;4;1;Kyyttä Energy Oy;Enercon
Simo;65.613228°N, 25.091925°E;2017;10;3;Tuuliwatti Oy;Vestas
Uusikaupunki;60.67701°N, 21.38128°E;2017;18;3;Taaleri Oyj;
Alavieska;64.21633°N, 24.33554°E;2016;30;9;Saarenkylä Tuulipuisto Oy;Vestas
Jokioinen;60.8754°N, 23.30994°E;2016;12;4;Tuulivoimapuisto Tyrinselkä Oy;Vestas
Ii;65.55193°N, 25.32829°E;2016;66;22;Taaleri Pääomarahastot Oy;Nordex
Ilmajoki;62.64403°N, 22.49416°E;2016;56;17;EPV Tuulivoima Oy;Vestas
Kalajoki;64.23744°N, 23.92723°E;2016;7;2;Tuulipuisto Oy Etelänkylä;Vestas
Kalajoki;64.27257°N, 24.05167°E;2016;20;6;TuuliWatti Oy;Vestas
Kalajoki;64.31216°N, 23.98251°E;2016;73;22;Tohkojan Tuulipuisto Oy;Vestas
Kankaanpää;61.93321°N, 22.31319°E;2016;27;9;Taaleri Pääomarahastot Oy;Nordex
Karvia;62.09615°N, 22.57275°E;2016;24;8;Taaleri Pääomarahastot Oy;Nordex
Kauhajoki;62.40414°N, 21.95476°E;2016;3;1;Suotuuli Oy;Lagerwey
Kauhajoki;62.40337°N, 21.95424°E;2016;20;8;SPC 2-Mustaisneva Oy;Lagerwey
Kemi;65.66804°N, 24.54895°E;2016;33;10;OX2 Wind Finland;Siemens Gamesa
Kittilä;67.63721°N, 25.73625°E;2016;24;8;Allianz;Nordex
Kotka;60.42833°N, 26.88556°E;2016;2;3;Kotkan Energia Oy;Enercon
Lappo;62.92164°N, 23.06791°E;2016;21;6;Jouttikallio Wind Oy;Vestas
Perho;63.21274°N, 24.47386°E;2016;27;9;Taaleri Pääomarahastot Oy;Nordex
Posio;66.0147°N, 28.74592°E;2016;23;7;Posion Energia Oy;Vestas
Pyhäjoki;64.3867°N, 24.6264°E;2016;26;8;Tuulipuisto Oy Pyhäjoki;Vestas
Pyhäjoki;64.36296°N, 24.05864°E;2016;33;11;wpd mäkikankaan tuulipuisto Oy;Nordex
Raahe;64.41192°N, 24.8497°E;2016;33;10;Suomen Hyötytuuli Oy;Vestas
Siikajoki;64.78407°N, 24.90429°E;2016;3;1;Tuulisaimaa Oy;Alstom
Simo;65.64607°N, 25.15106°E;2016;3;1;Tuuliwatti Oy;Vestas
Simo;65.67447°N, 25.01415°E;2016;45;13;Tuuliwatti Oy;Vestas
Vörå;63.33029°N, 22.4903°E;2016;3;1;Årvas Wind Ab;Lagerwey
Alavieska;64.25341°N, 24.22742°E;2015;20;6;Taaleritehdas;Vestas
Haapajärvi;63.79032°N, 25.34624°E;2015;7;2;ABO Wind Oy;
Hailuoto;65.03758°N, 25.06369°E;2015;2;1;;
Hamina;60.548°N, 27.17297°E;2015;6;2;Haminan Energia Oy;Enercon
Kalajoki;64.30986°N, 23.98727°E;2015;36;12;WPD Finland Oy;Nordex
Kalajoki;64.26583°N, 24.05607°E;2015;73;22;Tuuliwatti Oy;Vestas
Pori;61.59827°N, 21.51581°E;2015;7;2;Suomen Hyötytuuli Oy;Vestas
Pyhäjoki;64.35429°N, 24.47684°E;2015;13;4;Tunturivoima/Puhuri;Vestas
Seinäjoki;62.58828°N, 23.07708°E;2015;8;3;Tuulivoimapuisto Kankaanpäänmäki OY;Lagerwey
Siikainen;61.85797°N, 21.70425°E;2015;26;8;Tuuliwatti Oy;Vestas
Tornio;65.76058°N, 24.15237°E;2015;17;5;Rajakiiri Oy;Vestas
Vähäkyrö;63.0394°N, 21.98845°E;2015;53;16;EPV Tuulivoima Oy;Vestas
Ylivieska;63.99804°N, 24.52161°E;2015;23;7;Taaleri Oyj;Vestas
Ylivieska;63.99743°N, 24.52466°E;2015;7;2;Reconcept;Vestas
Ii;65.41056°N, 25.25961°E;2014;1;1;Iin Energia Oy;WinWinD
Ii;65.48297°N, 25.36479°E;2014;10;3;Tuuliwatti Oy;Vestas
Ii;65.50748°N, 25.33465°E;2014;19;8;Taaleritehdas Oy;Nordex
Ii;65.39299°N, 25.28781°E;2014;1;1;Lumituuli Oy;Enercon
Ilmajoki;62.72257°N, 22.37265°E;2014;3;2;Koskenkorvan Tuulivoima Oy;Dong Fang
Kauhajoki;62.45891°N, 22.09598°E;2014;3;1;Sysituuli Oy;Lagerway
Kauhava;63.32187°N, 23.00404°E;2014;3;1;Tuuliveikot Oyt;Lagerway
Kotka;60.42695°N, 26.88504°E;2014;5;2;Kotkan Energia Oy;Enercon
Luhanka;61.73346°N, 25.78365°E;2014;18;6;Ilmatar Windpower Oyj;Vestas
Lumijoki;64.92869°N, 25.09092°E;2014;2;1;Lumituuli Oy;Vestas
Närpiö;62.34748°N, 21.39138°E;2014;15;5;Vindin AB;
Pori;61.60805°N, 21.51468°E;2014;2;1;Pohjantuulen Voima;Vestas
Raahe;64.5341°N, 24.70283°E;2014;33;10;Puhuri Oy;Vestas
Raahe;64.65833°N, 24.39094°E;2014;6;2;Raahe Energia;Nordex
Salo;60.46108°N, 23.04825°E;2014;15;3;Tuuliwatti & Restuuli;Gamesa
Seinäjoki;62.59216°N, 22.95301°E;2014;2;1;Mika Manni;Dong Fang
Sodankylä;67.35461°N, 26.22622°E;2014;27;9;Impax Asset Management;Nordex
Tornio;66.13219°N, 24.0477°E;2014;36;8;Tuuliwatti Oy;Gamesa
Eurajoki;61.21503°N, 21.72214°E;2013;1;1;;Enercon
Honkajoki;61.9638°N, 22.29622°E;2013;22;9;Goodyields Capital GmbH:n ja Access Capital Partners;Nordex
Huittinen;61.0569°N, 22.63335°E;2013;1;3;Jaakko ja Johannes Kariniemi;
Ilmajoki;62.81112°N, 22.5162°E;2013;0;1;;Enercon
Lappeenranta;61.0975°N, 28.40772°E;2013;21;7;TuuliSaimaa Oy;Alstom
Merijärvi;64.34415°N, 24.39171°E;2013;14;6;Oy Herrfors Ab;Siemens
Pori;61.63487°N, 21.64959°E;2013;54;12;Tuuliwatti Oy;Gamesa
Raahe;64.54256°N, 24.74291°E;2013;21;7;Puhuri Oy;Siemens
Ruovesi;61.96266°N, 24.16441°E;2013;1;1;;Bonus
Salo;60.36939°N, 22.94569°E;2013;1;1;;Siemens
Sauvo;60.30444°N, 22.67728°E;2013;1;1;;Siemens
Tervola;66.14177°N, 24.89571°E;2013;30;10;Tuuliwatti Oy;Vestas
Teuva;62.45329°N, 21.66024°E;2013;3;1;Pertunmäen Mylly Oy;
Hamina;60.54662°N, 27.0805°E;2012;8;4;Suomen Voima Oy;Hyundai
Huittinen;61.21669°N, 22.77973°E;2012;4;2;Lännen Lintu Oy, Sallila Energia Oy;
Ii;65.4791°N, 25.37482°E;2012;24;8;Tuuliwatti Oy;Vestas
Ikaalinen;61.79746°N, 23.34507°E;2012;1;1;;Siemens
Kemi;65.67586°N, 24.58013°E;2012;2;1;Sumituuli Oy;Hyundai
Simo;65.61307°N, 25.1023°E;2012;9;3;Tuuliwatti Oy;
Vaasa;63.05641°N, 21.55187°E;2012;4;1;Wasa Wind Oy;Mervento
Ikaalinen;61.78246°N, 22.99582°E;2011;1;1;;Nordex
Jalasjärvi;62.32753°N, 22.67669°E;2011;1;1;;
Simo;65.65823°N, 25.00683°E;2011;9;3;Tuuliwatti Oy;
Tornio;65.75055°N, 24.17007°E;2011;29;8;Rajakiiri Oy;Siemens
Hamina;60.53392°N, 27.13237°E;2010;12;4;Haminan energia Oy;WinWinD
Kauhava;63.06115°N, 23.29805°E;2010;1;2;;
Pori;61.62433°N, 21.35265°E;2010;2;1;Hyötytuuli Oy;
Raahe;64.63381°N, 24.38296°E;2010;9;4;Hyötytuuli Oy;Siemens
Jalasjärvi;62.36507°N, 22.7438°E;2009;1;1;;
Töysä;62.60842°N, 23.78764°E;2009;1;1;;
Korsnäs;62.93231°N, 21.18443°E;2008;4;4;VS Tuulivoima Oy;
Oulu;65.00858°N, 25.19607°E;2008;6;2;Pohjantuulen Voima;
Kimitoön;59.94922°N, 22.33774°E;2007;6;3;;
Lemland;59.95881°N, 19.95416°E;2007;14;6;;
Luoto;63.83128°N, 22.78186°E;2006;1;1;;
Pori;61.63666°N, 21.40319°E;2006;3;1;;
Sastamala;61.30302°N, 22.70027°E;2005;0;1;;
Sottunga;60.11524°N, 20.67166°E;2005;1;1;;
Eurajoki;61.23591°N, 21.45459°E;2004;1;1;;
Hanko;59.8748°N, 23.09756°E;2004;8;4;;
Inkoo;59.98461°N, 23.84934°E;2004;2;1;;
Sastamala;61.5367°N, 22.77729°E;2004;0;1;;
Huittinen;61.15011°N, 22.79621°E;2003;0;1;;
Jalasjärvi;62.51305°N, 22.7127°E;2003;0;1;;
Lumparland;60.10182°N, 20.24497°E;2003;1;2;;
Ii;65.55165°N, 25.11809°E;2002;0;8;Vapon Tuulivoima Oy;
Pori;61.63592°N, 21.39722°E;2002;2;1;;
Finström;60.36399°N, 19.97362°E;1999;1;1;;
Föglö;59.99375°N, 20.3103°E;1999;1;1;;
Ii;65.54551°N, 25.11663°E;1999;2;3;;
Närpes;62.47447°N, 21.13554°E;1999;2;2;;
Olos;67.92205°N, 23.79481°E;1999;2;3;;
Pori;61.60431°N, 21.45317°E;1999;7;7;;
Enontekiö;68.78321°N, 21.33799°E;1998;1;1;;
Finström;60.3634°N, 19.9677°E;1998;1;2;;
Ii;65.55541°N, 25.11945°E;1998;2;3;;
Muonio;67.92232°N, 23.79755°E;1998;1;2;;
Vårdö;60.22605°N, 20.3967°E;1998;1;2;;
Lemland;60.07937°N, 20.02439°E;1997;2;4;;
Lemland;60.0246°N, 20.1657°E;1997;1;1;;
Enontekiö;68.7845°N, 21.34198°E;1996;1;2;;
Eckerö;60.24807°N, 19.49852°E;1995;1;1;;
Ii;65.55052°N, 25.11567°E;1995;1;1;;
Pori;61.61104°N, 21.43323°E;1993;0;1;;
Korsnäs;62.93191°N, 21.18367°E;1991;0;2;;
Raahe;64.63347°N, 24.38529°E;0;21;9;Suomen Hyötytuuli;
